Store Name,Address,Contact,Latitude,Longitude,Store URL
Sanremo,"Piazza Colombo, ang. Via Canessa, 1, Sanremo , IM","0184 1914484‬, ",43.81870000,7.77774000,https://www.pampanorama.it/punti-vendita/sanremo
Cervo,"Piazza Martiri della Libertà, 3, 18018 Cervo , IM","0183/409486, ",43.92546000,8.11005000,https://www.pampanorama.it/punti-vendita/cervo
San Bartolomeo al Mare,"Via Aurelia, 136, 18016 San Bartolomeo al mare , IM","0183 408300, ",43.92049000,8.09859000,https://www.pampanorama.it/punti-vendita/san-bartolomeo
Diano Marina Kennedy,"Viale Kennedy, 107, 18013 Diano Marina , IM","0183 402924, ",43.913475,8.086075,https://www.pampanorama.it/punti-vendita/diano-marina-kennedy-107
Diano Marina,"Via Biancheri, 32, 18013 Diano Marina , IM","0183 493127, ",43.91022000,8.08203000,https://www.pampanorama.it/punti-vendita/diano-marina
Imperia Bianchi,"Piazza Bianchi, 13, 18100 Imperia , IM","0183 753799, ",43.88933000,8.04251000,https://www.pampanorama.it/punti-vendita/imperia-bianchi
Imperia Repubblica,"Via della Repubblica, 28, 18100 Imperia , IM","0183 754219, ",43.88999000,8.03827000,https://www.pampanorama.it/punti-vendita/imperia-repubblica
Laigueglia,"Via Roma, 36D, 17053 Liguria , SV","0182 1905360, ",43.97624000,8.15781000,https://www.pampanorama.it/punti-vendita/laigueglia
Imperia Aurelia,"via Aurelia, 2, 18100 Imperia , IM","0183 654125, ",43.86965000,8.00150000,https://www.pampanorama.it/punti-vendita/imperia-aurelia
Taggia,"Viale Mazzini, 12, 18018 TAGGIA , IM","0184 462464, ",43.860633,7.853687,https://www.pampanorama.it/punti-vendita/taggia
Molteno,"Via Alcide de Gasperi 14 – 23847 Molteno (LC), Molteno , LC",", ",45.777129,9.309877,https://www.pampanorama.it/punti-vendita/pam-molteno
Formia,"Via del Commercio, 3 - Località Santa Croce, 04023 Formia , LT","0771/738800, ",41.26720050,13.67249970,https://www.pampanorama.it/punti-vendita/formia
La Spezia,"Piazza Kennedy, 34, 19124 La Spezia , SP","0187026181, ",44.112516,9.835811,https://www.pampanorama.it/punti-vendita/pam-la-spezia
Fosdinovo,"V.le Malaspina, 1, 54035 Fosdinovo , MS","0187/675428, ",44.09749990,9.98696040,https://www.pampanorama.it/punti-vendita/fosdinovo
Monza Italia,"Via Italia 39, 20900 Monza , MB","0399718807, ",45.58129880,9.27381040,https://www.pampanorama.it/punti-vendita/monza
Milano Tartini,"via Tartini 3, Milano, Milano , MI","02 39314929, ",45.503734,9.176437,https://www.pampanorama.it/punti-vendita/milano-tartini
Milano Padova,"Via Padova, 111, 20131 Milano , MI","02/2827892, ",45.49679950,9.23068050,https://www.pampanorama.it/punti-vendita/milano-padova
Milano Teodosio,"Via Teodosio 52, 20131 Milano , MI",", ",45.48637,9.23011,https://www.pampanorama.it/punti-vendita/local-milano-teodosio
Milano Bazzini,"Via Bazzini, 33, 20131 Milano , MI","02/2363551, ",45.48350140,9.22498990,https://www.pampanorama.it/punti-vendita/milano-bazzini
Milano Costa,"Via Padova, 22, 20127 Milano , MI","02/2827786, ",45.48789980,9.21910950,https://www.pampanorama.it/punti-vendita/milano-costa
Milano Monza,"Viale Monza 43/A, 20127 Milano , MI","02/32329715, ",45.49051000,9.21776000,https://www.pampanorama.it/punti-vendita/milano-monza
Milano Piccinni,"Via Piccinni, 2, 20131 Milano , MI","02/29512715, ",45.48329930,9.21389010,https://www.pampanorama.it/punti-vendita/milano-piccinni
Milano Settembrini,"Via Settembrini, 46, 20124 Milano , MI","02/45388676, ",45.48440170,9.20726970,https://www.pampanorama.it/punti-vendita/milano-settembrini
